Year,Geography,Type of cyber-related violation,Cyber-related violation,Value
2015,,,,17887
2016,,,,23996
2017,,,,27829
2018,,,,33893
2019,,,,44136
2015,Canada,Against a person,Luring a child via a computer,850
2016,Canada,Against a person,Luring a child via a computer,1108
2017,Canada,Against a person,Luring a child via a computer,1132
2018,Canada,Against a person,Luring a child via a computer,1280
2019,Canada,Against a person,Luring a child via a computer,1450
2015,Canada,Against a person,Non-consensual distribution of intimate images,97
2016,Canada,Against a person,Non-consensual distribution of intimate images,295
2017,Canada,Against a person,Non-consensual distribution of intimate images,516
2018,Canada,Against a person,Non-consensual distribution of intimate images,569
2019,Canada,Against a person,Non-consensual distribution of intimate images,718
2015,Canada,Against a person,Extortion,709
2016,Canada,Against a person,Extortion,797
2017,Canada,Against a person,Extortion,893
2018,Canada,Against a person,Extortion,1863
2019,Canada,Against a person,Extortion,1410
2015,Canada,Against a person,Criminal harassment,1001
2016,Canada,Against a person,Criminal harassment,1058
2017,Canada,Against a person,Criminal harassment,1291
2018,Canada,Against a person,Criminal harassment,1396
2019,Canada,Against a person,Criminal harassment,1715
2015,Canada,Against a person,Indecent/Harassing communications,1202
2016,Canada,Against a person,Indecent/Harassing communications,1655
2017,Canada,Against a person,Indecent/Harassing communications,2302
2018,Canada,Against a person,Indecent/Harassing communications,2708
2019,Canada,Against a person,Indecent/Harassing communications,4933
2015,Canada,Against a person,Uttering threats,1139
2016,Canada,Against a person,Uttering threats,1356
2017,Canada,Against a person,Uttering threats,1674
2018,Canada,Against a person,Uttering threats,2224
2019,Canada,Against a person,Uttering threats,3122
2015,Canada,Against a person,Fraud,8429
2016,Canada,Against a person,Fraud,11383
2017,Canada,Against a person,Fraud,13426
2018,Canada,Against a person,Fraud,16641
2019,Canada,Against a person,Fraud,21047
2015,Canada,Against a person,Identity theft,191
2016,Canada,Against a person,Identity theft,260
2017,Canada,Against a person,Identity theft,280
2018,Canada,Against a person,Identity theft,284
2019,Canada,Against a person,Identity theft,388
2015,Canada,Against a person,Identity fraud,695
2016,Canada,Against a person,Identity fraud,828
2017,Canada,Against a person,Identity fraud,1082
2018,Canada,Against a person,Identity fraud,1369
2019,Canada,Against a person,Identity fraud,1920
2015,Canada,Against a person,Child pornography,1753
2016,Canada,Against a person,Child pornography,1278
2017,Canada,Against a person,Child pornography,1041
2018,Canada,Against a person,Child pornography,621
2019,Canada,Against a person,Child pornography,1130
2015,Canada,Against a person,Making or distribution of child pornography,850
2016,Canada,Against a person,Making or distribution of child pornography,2886
2017,Canada,Against a person,Making or distribution of child pornography,2868
2018,Canada,Against a person,Making or distribution of child pornography,3113
2019,Canada,Against a person,Making or distribution of child pornography,4174
