Year,Geography,Gender,Age group,Selected demographic characteristics,GeoCode,Value
2016,,,,,,79.3
2021,,,,,,81.955
2016,Canada,Total,Total,Non immigrants,,78.5
2016,Canada,Total,Total,Immigrants,,80.9
2016,Canada,Total,Total,Non-permanent residents,,89.1
2016,Canada,Total,Total,Total visible minority population,,82.2
2016,Canada,Total,Total,Not a visible minority,,78.5
2016,Canada,Total,Total,Total Indigenous identity,,61.6
2016,Canada,Total,Total,First Nations (North American Indian),,56.8
2016,Canada,Total,Total,Métis,,70.3
2016,Canada,Total,Total,Inuk (Inuit),,40.2
2016,Canada,Total,Total,Non-Indigenous identity,,80.1
2016,Canada,Total,15 to 24 years,Total,,65.2
2016,Canada,Total,15 to 24 years,Non immigrants,,63.7
2016,Canada,Total,15 to 24 years,Immigrants,,69.0
2016,Canada,Total,15 to 24 years,Non-permanent residents,,84.5
2016,Canada,Total,15 to 24 years,Total visible minority population,,69.5
2016,Canada,Total,15 to 24 years,Not a visible minority,,63.6
2016,Canada,Total,15 to 24 years,Total Indigenous identity,,47.0
2016,Canada,Total,15 to 24 years,First Nations (North American Indian),,42.4
2016,Canada,Total,15 to 24 years,Métis,,56.8
2016,Canada,Total,15 to 24 years,Inuk (Inuit),,30.2
2016,Canada,Total,15 to 24 years,Non-Indigenous identity,,66.5
2016,Canada,Total,25 to 64 years,Total,,86.3
2016,Canada,Total,25 to 64 years,Non immigrants,,85.8
2016,Canada,Total,25 to 64 years,Immigrants,,87.4
2016,Canada,Total,25 to 64 years,Non-permanent residents,,92.4
2016,Canada,Total,25 to 64 years,Total visible minority population,,88.3
2016,Canada,Total,25 to 64 years,Not a visible minority,,85.7
2016,Canada,Total,25 to 64 years,Total Indigenous identity,,68.8
2016,Canada,Total,25 to 64 years,First Nations (North American Indian),,64.0
2016,Canada,Total,25 to 64 years,Métis,,77.4
2016,Canada,Total,25 to 64 years,Inuk (Inuit),,45.4
2016,Canada,Total,25 to 64 years,Non-Indigenous identity,,87.1
2016,Canada,Total,65 to 74 years,Total,,73.1
2016,Canada,Total,65 to 74 years,Non immigrants,,72.9
2016,Canada,Total,65 to 74 years,Immigrants,,73.9
2016,Canada,Total,65 to 74 years,Non-permanent residents,,65.9
2016,Canada,Total,65 to 74 years,Total visible minority population,,72.6
2016,Canada,Total,65 to 74 years,Not a visible minority,,73.2
2016,Canada,Total,65 to 74 years,Total Indigenous identity,,53.0
2016,Canada,Total,65 to 74 years,First Nations (North American Indian),,49.1
2016,Canada,Total,65 to 74 years,Métis,,58.0
2016,Canada,Total,65 to 74 years,Inuk (Inuit),,33.3
2016,Canada,Total,65 to 74 years,Non-Indigenous identity,,73.7
2016,Canada,Total,75 years and over,Total,,54.9
2016,Canada,Total,75 years and over,Non immigrants,,54.7
2016,Canada,Total,75 years and over,Immigrants,,55.3
2016,Canada,Total,75 years and over,Non-permanent residents,,53.0
2016,Canada,Total,75 years and over,Total visible minority population,,56.0
2016,Canada,Total,75 years and over,Not a visible minority,,54.7
2016,Canada,Total,75 years and over,Total Indigenous identity,,32.3
2016,Canada,Total,75 years and over,First Nations (North American Indian),,29.0
2016,Canada,Total,75 years and over,Métis,,35.6
2016,Canada,Total,75 years and over,Inuk (Inuit),,21.7
2016,Canada,Total,75 years and over,Non-Indigenous identity,,55.2
2016,Canada,Males,Total,Total,,77.7
2016,Canada,Males,Total,Non immigrants,,76.1
2016,Canada,Males,Total,Immigrants,,81.6
