Year,data.Geography,data.Asset,Value
2015,,,0.3891
2016,,,0.3873
2017,,,0.3875
2018,,,0.386
2019,,,0.387
2020,,,0.3862
2015,data.Canada,data.Commercial buildings,0.3846
2016,data.Canada,data.Commercial buildings,0.3828
2017,data.Canada,data.Commercial buildings,0.3799
2018,data.Canada,data.Commercial buildings,0.3805
2019,data.Canada,data.Commercial buildings,0.3813
2020,data.Canada,data.Commercial buildings,0.3803
2015,data.Canada,data.Institutional buildings,0.3837
2016,data.Canada,data.Institutional buildings,0.38
2017,data.Canada,data.Institutional buildings,0.3772
2018,data.Canada,data.Institutional buildings,0.3772
2019,data.Canada,data.Institutional buildings,0.3781
2020,data.Canada,data.Institutional buildings,0.3774
2015,data.Canada,data.Marine engineering infrastructure,0.39
2016,data.Canada,data.Marine engineering infrastructure,0.3991
2017,data.Canada,data.Marine engineering infrastructure,0.4066
2018,data.Canada,data.Marine engineering infrastructure,0.4081
2019,data.Canada,data.Marine engineering infrastructure,0.4202
2020,data.Canada,data.Marine engineering infrastructure,0.4189
2015,data.Canada,data.Transportation engineering infrastructure,0.3893
2016,data.Canada,data.Transportation engineering infrastructure,0.3827
2017,data.Canada,data.Transportation engineering infrastructure,0.3837
2018,data.Canada,data.Transportation engineering infrastructure,0.3829
2019,data.Canada,data.Transportation engineering infrastructure,0.3823
2020,data.Canada,data.Transportation engineering infrastructure,0.3825
2015,data.Canada,data.Waterworks infrastructure,0.3993
2016,data.Canada,data.Waterworks infrastructure,0.405
2017,data.Canada,data.Waterworks infrastructure,0.4053
2018,data.Canada,data.Waterworks infrastructure,0.4044
2019,data.Canada,data.Waterworks infrastructure,0.4035
2020,data.Canada,data.Waterworks infrastructure,0.4036
2015,data.Canada,data.Sewage infrastructure,0.4014
2016,data.Canada,data.Sewage infrastructure,0.4042
2017,data.Canada,data.Sewage infrastructure,0.4033
2018,data.Canada,data.Sewage infrastructure,0.4006
2019,data.Canada,data.Sewage infrastructure,0.4011
2020,data.Canada,data.Sewage infrastructure,0.4011
2015,data.Canada,data.Communications networks,0.3805
2016,data.Canada,data.Communications networks,0.3742
2017,data.Canada,data.Communications networks,0.3762
2018,data.Canada,data.Communications networks,0.376
2019,data.Canada,data.Communications networks,0.3761
2020,data.Canada,data.Communications networks,0.3761
2015,data.Canada,data.Electric power infrastructure,0.3589
2016,data.Canada,data.Electric power infrastructure,0.3584
2017,data.Canada,data.Electric power infrastructure,0.3578
2018,data.Canada,data.Electric power infrastructure,0.3587
2019,data.Canada,data.Electric power infrastructure,0.3582
2020,data.Canada,data.Electric power infrastructure,0.3582
2015,data.Canada,data.Oil and gas engineering construction,0.409
2016,data.Canada,data.Oil and gas engineering construction,0.4076
2017,data.Canada,data.Oil and gas engineering construction,0.415
2018,data.Canada,data.Oil and gas engineering construction,0.431
2019,data.Canada,data.Oil and gas engineering construction,0.4299
2020,data.Canada,data.Oil and gas engineering construction,0.4285
2015,data.Canada,data.Other engineering construction,0.4029
2016,data.Canada,data.Other engineering construction,0.407
2017,data.Canada,data.Other engineering construction,0.4051
2018,data.Canada,data.Other engineering construction,0.4082
2019,data.Canada,data.Other engineering construction,0.4157
2020,data.Canada,data.Other engineering construction,0.4184
2015,data.Canada,data.Other machinery and equipment,0.6918
2016,data.Canada,data.Other machinery and equipment,0.6678
2017,data.Canada,data.Other machinery and equipment,0.6704
2018,data.Canada,data.Other machinery and equipment,0.6721
2019,data.Canada,data.Other machinery and equipment,0.6725
2020,data.Canada,data.Other machinery and equipment,0.6726
2015,data.Canada,data.Transportation machinery and equipment,0.6827
2016,data.Canada,data.Transportation machinery and equipment,0.6532
2017,data.Canada,data.Transportation machinery and equipment,0.6492
2018,data.Canada,data.Transportation machinery and equipment,0.6482
2019,data.Canada,data.Transportation machinery and equipment,0.6487
2020,data.Canada,data.Transportation machinery and equipment,0.6488
2015,data.Newfoundland and Labrador,data.Total assets,0.3589
2016,data.Newfoundland and Labrador,data.Total assets,0.3617
2017,data.Newfoundland and Labrador,data.Total assets,0.3626
2018,data.Newfoundland and Labrador,data.Total assets,0.3713
2019,data.Newfoundland and Labrador,data.Total assets,0.3716
2020,data.Newfoundland and Labrador,data.Total assets,0.3724
2015,data.Newfoundland and Labrador,data.Commercial buildings,0.4111
2016,data.Newfoundland and Labrador,data.Commercial buildings,0.4071
2017,data.Newfoundland and Labrador,data.Commercial buildings,0.4007
2018,data.Newfoundland and Labrador,data.Commercial buildings,0.4007
2019,data.Newfoundland and Labrador,data.Commercial buildings,0.4007
2020,data.Newfoundland and Labrador,data.Commercial buildings,0.4007
2015,data.Newfoundland and Labrador,data.Institutional buildings,0.4111
2016,data.Newfoundland and Labrador,data.Institutional buildings,0.4071
2017,data.Newfoundland and Labrador,data.Institutional buildings,0.4007
2018,data.Newfoundland and Labrador,data.Institutional buildings,0.4007
2019,data.Newfoundland and Labrador,data.Institutional buildings,0.4007
2020,data.Newfoundland and Labrador,data.Institutional buildings,0.4007
2015,data.Newfoundland and Labrador,data.Marine engineering infrastructure,0.4102
2016,data.Newfoundland and Labrador,data.Marine engineering infrastructure,0.402
2017,data.Newfoundland and Labrador,data.Marine engineering infrastructure,0.3986
2018,data.Newfoundland and Labrador,data.Marine engineering infrastructure,0.3986
2019,data.Newfoundland and Labrador,data.Marine engineering infrastructure,0.3986
2020,data.Newfoundland and Labrador,data.Marine engineering infrastructure,0.3986
2015,data.Newfoundland and Labrador,data.Transportation engineering infrastructure,0.3593
2016,data.Newfoundland and Labrador,data.Transportation engineering infrastructure,0.3561
2017,data.Newfoundland and Labrador,data.Transportation engineering infrastructure,0.3609
2018,data.Newfoundland and Labrador,data.Transportation engineering infrastructure,0.361
2019,data.Newfoundland and Labrador,data.Transportation engineering infrastructure,0.361
2020,data.Newfoundland and Labrador,data.Transportation engineering infrastructure,0.361
2015,data.Newfoundland and Labrador,data.Waterworks infrastructure,0.4102
2016,data.Newfoundland and Labrador,data.Waterworks infrastructure,0.402
2017,data.Newfoundland and Labrador,data.Waterworks infrastructure,0.3986
2018,data.Newfoundland and Labrador,data.Waterworks infrastructure,0.3986
2019,data.Newfoundland and Labrador,data.Waterworks infrastructure,0.3986
2020,data.Newfoundland and Labrador,data.Waterworks infrastructure,0.3986
2015,data.Newfoundland and Labrador,data.Sewage infrastructure,0.4102
2016,data.Newfoundland and Labrador,data.Sewage infrastructure,0.402
2017,data.Newfoundland and Labrador,data.Sewage infrastructure,0.3986
2018,data.Newfoundland and Labrador,data.Sewage infrastructure,0.3986
2019,data.Newfoundland and Labrador,data.Sewage infrastructure,0.3986
2020,data.Newfoundland and Labrador,data.Sewage infrastructure,0.3986
2015,data.Newfoundland and Labrador,data.Communications networks,0.3754
2016,data.Newfoundland and Labrador,data.Communications networks,0.3664
2017,data.Newfoundland and Labrador,data.Communications networks,0.3685
2018,data.Newfoundland and Labrador,data.Communications networks,0.3685
2019,data.Newfoundland and Labrador,data.Communications networks,0.3685
2020,data.Newfoundland and Labrador,data.Communications networks,0.3685
2015,data.Newfoundland and Labrador,data.Electric power infrastructure,0.3498
2016,data.Newfoundland and Labrador,data.Electric power infrastructure,0.3521
2017,data.Newfoundland and Labrador,data.Electric power infrastructure,0.3521
2018,data.Newfoundland and Labrador,data.Electric power infrastructure,0.3521
2019,data.Newfoundland and Labrador,data.Electric power infrastructure,0.3521
2020,data.Newfoundland and Labrador,data.Electric power infrastructure,0.3521
2015,data.Newfoundland and Labrador,data.Oil and gas engineering construction,0.409
2016,data.Newfoundland and Labrador,data.Oil and gas engineering construction,0.4076
2017,data.Newfoundland and Labrador,data.Oil and gas engineering construction,0.415
2018,data.Newfoundland and Labrador,data.Oil and gas engineering construction,0.431
2019,data.Newfoundland and Labrador,data.Oil and gas engineering construction,0.4299
2020,data.Newfoundland and Labrador,data.Oil and gas engineering construction,0.3639
2015,data.Newfoundland and Labrador,data.Other engineering construction,0.4097
2016,data.Newfoundland and Labrador,data.Other engineering construction,0.4017
2017,data.Newfoundland and Labrador,data.Other engineering construction,0.3983
2018,data.Newfoundland and Labrador,data.Other engineering construction,0.3984
2019,data.Newfoundland and Labrador,data.Other engineering construction,0.3984
2020,data.Newfoundland and Labrador,data.Other engineering construction,0.3984
2015,data.Newfoundland and Labrador,data.Other machinery and equipment,0.7003
2016,data.Newfoundland and Labrador,data.Other machinery and equipment,0.669
2017,data.Newfoundland and Labrador,data.Other machinery and equipment,0.6697
2018,data.Newfoundland and Labrador,data.Other machinery and equipment,0.6685
2019,data.Newfoundland and Labrador,data.Other machinery and equipment,0.6687
2020,data.Newfoundland and Labrador,data.Other machinery and equipment,0.6686
2015,data.Newfoundland and Labrador,data.Transportation machinery and equipment,0.6773
2016,data.Newfoundland and Labrador,data.Transportation machinery and equipment,0.6508
2017,data.Newfoundland and Labrador,data.Transportation machinery and equipment,0.6515
2018,data.Newfoundland and Labrador,data.Transportation machinery and equipment,0.6507
2019,data.Newfoundland and Labrador,data.Transportation machinery and equipment,0.6502
2020,data.Newfoundland and Labrador,data.Transportation machinery and equipment,0.6503
2015,data.Prince Edward Island,data.Total assets,0.4084
2016,data.Prince Edward Island,data.Total assets,0.3986
2017,data.Prince Edward Island,data.Total assets,0.4018
2018,data.Prince Edward Island,data.Total assets,0.4025
