Year,data.Selected housing vulnerable populations,data.Living with housing problems,Value
2018,data.All households,data.Living in unaffordable housing,22.0
2018,data.All households,data.Living in unaffordable housing,21.0
2018,data.All households,data.Living in unaffordable housing,22.0
2018,data.All households,data.Living in unsuitable housing,5.1
2018,data.All households,data.Living in unsuitable housing,4.7
2018,data.All households,data.Living in unsuitable housing,5.4
2018,data.All households,data.Living in inadequate housing,7.1
2018,data.All households,data.Living in inadequate housing,6.8
2018,data.All households,data.Living in inadequate housing,7.5
2018,data.All households,data.Living in core housing need,11.6
2018,data.All households,data.Living in core housing need,11.2
2018,data.All households,data.Living in core housing need,12.0
2018,"data.Total, lone-parent family households",data.Living in unaffordable housing,28.0
2018,"data.Total, lone-parent family households",data.Living in unaffordable housing,25.0
2018,"data.Total, lone-parent family households",data.Living in unaffordable housing,30.0
2018,"data.Total, lone-parent family households",data.Living in unsuitable housing,9.4
2018,"data.Total, lone-parent family households",data.Living in unsuitable housing,7.9
2018,"data.Total, lone-parent family households",data.Living in unsuitable housing,11.1
2018,"data.Total, lone-parent family households",data.Living in inadequate housing,10.8
2018,"data.Total, lone-parent family households",data.Living in inadequate housing,9.4
2018,"data.Total, lone-parent family households",data.Living in inadequate housing,12.4
2018,"data.Total, lone-parent family households",data.Living in core housing need,22.0
2018,"data.Total, lone-parent family households",data.Living in core housing need,19.6
2018,"data.Total, lone-parent family households",data.Living in core housing need,24.0
2018,data.Lone-parent family households whose reference person is male,data.Living in unaffordable housing,25.0
2018,data.Lone-parent family households whose reference person is male,data.Living in unaffordable housing,20.0
2018,data.Lone-parent family households whose reference person is male,data.Living in unaffordable housing,30.0
2018,data.Lone-parent family households whose reference person is male,data.Living in unsuitable housing,8.0
2018,data.Lone-parent family households whose reference person is male,data.Living in unsuitable housing,5.4
2018,data.Lone-parent family households whose reference person is male,data.Living in unsuitable housing,11.7
2018,data.Lone-parent family households whose reference person is male,data.Living in inadequate housing,8.5
2018,data.Lone-parent family households whose reference person is male,data.Living in inadequate housing,6.2
2018,data.Lone-parent family households whose reference person is male,data.Living in inadequate housing,11.5
2018,data.Lone-parent family households whose reference person is male,data.Living in core housing need,15.8
2018,data.Lone-parent family households whose reference person is male,data.Living in core housing need,11.8
2018,data.Lone-parent family households whose reference person is male,data.Living in core housing need,21.0
2018,data.Lone-parent family households whose reference person is female,data.Living in unaffordable housing,29.0
2018,data.Lone-parent family households whose reference person is female,data.Living in unaffordable housing,26.0
2018,data.Lone-parent family households whose reference person is female,data.Living in unaffordable housing,31.0
2018,data.Lone-parent family households whose reference person is female,data.Living in unsuitable housing,9.9
2018,data.Lone-parent family households whose reference person is female,data.Living in unsuitable housing,8.2
2018,data.Lone-parent family households whose reference person is female,data.Living in unsuitable housing,11.9
2018,data.Lone-parent family households whose reference person is female,data.Living in inadequate housing,11.7
2018,data.Lone-parent family households whose reference person is female,data.Living in inadequate housing,10.0
2018,data.Lone-parent family households whose reference person is female,data.Living in inadequate housing,13.6
2018,data.Lone-parent family households whose reference person is female,data.Living in core housing need,24.0
2018,data.Lone-parent family households whose reference person is female,data.Living in core housing need,21.0
2018,data.Lone-parent family households whose reference person is female,data.Living in core housing need,26.0
2018,"data.Total, one person households",data.Living in unaffordable housing,38.0
2018,"data.Total, one person households",data.Living in unaffordable housing,37.0
2018,"data.Total, one person households",data.Living in unaffordable housing,39.0
2018,"data.Total, one person households",data.Living in inadequate housing,8.3
2018,"data.Total, one person households",data.Living in inadequate housing,7.6
2018,"data.Total, one person households",data.Living in inadequate housing,9.0
2018,"data.Total, one person households",data.Living in core housing need,22.0
2018,"data.Total, one person households",data.Living in core housing need,21.0
2018,"data.Total, one person households",data.Living in core housing need,23.0
2018,data.Men living alone,data.Living in unaffordable housing,35.0
2018,data.Men living alone,data.Living in unaffordable housing,33.0
2018,data.Men living alone,data.Living in unaffordable housing,37.0
2018,data.Men living alone,data.Living in inadequate housing,8.5
2018,data.Men living alone,data.Living in inadequate housing,7.5
2018,data.Men living alone,data.Living in inadequate housing,9.7
2018,data.Men living alone,data.Living in core housing need,21.0
2018,data.Men living alone,data.Living in core housing need,19.0
2018,data.Men living alone,data.Living in core housing need,22.0
2018,data.Women living alone,data.Living in unaffordable housing,40.0
2018,data.Women living alone,data.Living in unaffordable housing,38.0
2018,data.Women living alone,data.Living in unaffordable housing,41.0
2018,data.Women living alone,data.Living in inadequate housing,8.1
2018,data.Women living alone,data.Living in inadequate housing,7.2
2018,data.Women living alone,data.Living in inadequate housing,9.1
2018,data.Women living alone,data.Living in core housing need,24.0
2018,data.Women living alone,data.Living in core housing need,22.0
2018,data.Women living alone,data.Living in core housing need,25.0
2018,data.Reference person who experienced homelessness,data.Living in unaffordable housing,38.0
2018,data.Reference person who experienced homelessness,data.Living in unaffordable housing,34.0
2018,data.Reference person who experienced homelessness,data.Living in unaffordable housing,42.0
2018,data.Reference person who experienced homelessness,data.Living in unsuitable housing,6.8
2018,data.Reference person who experienced homelessness,data.Living in unsuitable housing,5.1
2018,data.Reference person who experienced homelessness,data.Living in unsuitable housing,9.1
2018,data.Reference person who experienced homelessness,data.Living in inadequate housing,18.8
2018,data.Reference person who experienced homelessness,data.Living in inadequate housing,15.8
2018,data.Reference person who experienced homelessness,data.Living in inadequate housing,22.0
2018,data.Reference person who experienced homelessness,data.Living in core housing need,34.0
2018,data.Reference person who experienced homelessness,data.Living in core housing need,30.0
2018,data.Reference person who experienced homelessness,data.Living in core housing need,37.0
