Year,Geography,Industries,Environmental management practices,Environmental protection activities,GeoCode,Value
2018,Canada,"Total, industries",,"Total, environmental protection activities",,90.3
2019,Canada,"Total, industries",,"Total, environmental protection activities",,86.6
2020,Canada,"Total, industries",,"Total, environmental protection activities",,86.3
2021,Canada,"Total, industries",,"Total, environmental protection activities",,86.4
2022,Canada,"Total, industries",,"Total, environmental protection activities",,86.6
2023,Canada,"Total, industries",,"Total, environmental protection activities",,86.4
2018,Canada,"Total, industries",Reported using one or more environmental management practices,,,40.7
2019,Canada,"Total, industries",Reported using one or more environmental management practices,,,35.2
2020,Canada,"Total, industries",Reported using one or more environmental management practices,,,34.9
2021,Canada,"Total, industries",Reported using one or more environmental management practices,,,40.4
2022,Canada,"Total, industries",Reported using one or more environmental management practices,,,36.3
2023,Canada,"Total, industries",Reported using one or more environmental management practices,,,36.5
2018,Canada,"Total, industries",Environmental management system,,,22.3
2018,Canada,"Total, industries",Pollution prevention plan,,,19.9
2018,Canada,"Total, industries",Life cycle management,,,7.5
2018,Canada,"Total, industries",ISO 14000 family certification,,,7.3
2018,Canada,"Total, industries",Environmental voluntary agreements or programs,,,6.5
2018,Canada,"Total, industries",Green procurements policy or guidelines,,,10.0
2018,Canada,"Total, industries",Environmental supply chain management policy,,,7.6
2018,Canada,"Total, industries",New or improved environmental supply chain management policy,,,3.8
2018,Canada,"Total, industries","Environmental incentive programs, grants, loans, or tax credits",,,7.1
2018,Canada,"Total, industries",Greenhouse gas emission inventory,,,13.1
2018,Canada,"Total, industries",Purchased carbon offset credits only or purchased more than sold,,,0.9
2018,Canada,"Total, industries",Sold carbon offset credits only or sold more than purchased,,,0.9
2018,Canada,"Total, industries",Other environmental management practices,,,6.2
2018,Canada,Logging (except contract),Reported using one or more environmental management practices,,,33.6
2018,Canada,Logging (except contract),Environmental management system,,,20.0
2018,Canada,Logging (except contract),Pollution prevention plan,,,20.8
2018,Canada,Logging (except contract),Life cycle management,,,1.7
2018,Canada,Logging (except contract),ISO 14000 family certification,,,2.9
2018,Canada,Logging (except contract),Environmental voluntary agreements or programs,,,6.5
2018,Canada,Logging (except contract),Green procurements policy or guidelines,,,2.4
2018,Canada,Logging (except contract),Environmental supply chain management policy,,,2.9
2018,Canada,Logging (except contract),New or improved environmental supply chain management policy,,,1.0
2018,Canada,Logging (except contract),"Environmental incentive programs, grants, loans, or tax credits",,,1.4
2018,Canada,Logging (except contract),Greenhouse gas emission inventory,,,0.6
2018,Canada,Logging (except contract),Purchased carbon offset credits only or purchased more than sold,,,0.0
2018,Canada,Logging (except contract),Sold carbon offset credits only or sold more than purchased,,,
2018,Canada,Logging (except contract),Other environmental management practices,,,2.2
2018,Canada,Oil and gas extraction,Reported using one or more environmental management practices,,,74.3
2018,Canada,Oil and gas extraction,Environmental management system,,,61.8
2018,Canada,Oil and gas extraction,Pollution prevention plan,,,43.1
2018,Canada,Oil and gas extraction,Life cycle management,,,11.2
2018,Canada,Oil and gas extraction,ISO 14000 family certification,,,5.2
2018,Canada,Oil and gas extraction,Environmental voluntary agreements or programs,,,26.0
2018,Canada,Oil and gas extraction,Green procurements policy or guidelines,,,6.9
2018,Canada,Oil and gas extraction,Environmental supply chain management policy,,,5.8
2018,Canada,Oil and gas extraction,New or improved environmental supply chain management policy,,,2.4
2018,Canada,Oil and gas extraction,"Environmental incentive programs, grants, loans, or tax credits",,,28.7
2018,Canada,Oil and gas extraction,Greenhouse gas emission inventory,,,60.2
2018,Canada,Oil and gas extraction,Purchased carbon offset credits only or purchased more than sold,,,5.2
2018,Canada,Oil and gas extraction,Sold carbon offset credits only or sold more than purchased,,,5.1
2018,Canada,Oil and gas extraction,Other environmental management practices,,,19.5
2018,Canada,Mining and quarrying,Reported using one or more environmental management practices,,,93.3
2018,Canada,Mining and quarrying,Environmental management system,,,84.4
2018,Canada,Mining and quarrying,Pollution prevention plan,,,61.1
2018,Canada,Mining and quarrying,Life cycle management,,,18.9
2018,Canada,Mining and quarrying,ISO 14000 family certification,,,21.1
2018,Canada,Mining and quarrying,Environmental voluntary agreements or programs,,,35.6
2018,Canada,Mining and quarrying,Green procurements policy or guidelines,,,17.8
2018,Canada,Mining and quarrying,Environmental supply chain management policy,,,18.9
2018,Canada,Mining and quarrying,New or improved environmental supply chain management policy,,,15.6
2018,Canada,Mining and quarrying,"Environmental incentive programs, grants, loans, or tax credits",,,18.9
2018,Canada,Mining and quarrying,Greenhouse gas emission inventory,,,68.9
2018,Canada,Mining and quarrying,Purchased carbon offset credits only or purchased more than sold,,,6.7
2018,Canada,Mining and quarrying,Sold carbon offset credits only or sold more than purchased,,,0.0
2018,Canada,Mining and quarrying,Other environmental management practices,,,18.9
2018,Canada,"Electric power generation, transmission and distribution",Reported using one or more environmental management practices,,,74.9
2018,Canada,"Electric power generation, transmission and distribution",Environmental management system,,,53.0
2018,Canada,"Electric power generation, transmission and distribution",Pollution prevention plan,,,31.3
2018,Canada,"Electric power generation, transmission and distribution",Life cycle management,,,18.6
2018,Canada,"Electric power generation, transmission and distribution",ISO 14000 family certification,,,13.0
2018,Canada,"Electric power generation, transmission and distribution",Environmental voluntary agreements or programs,,,19.6
2018,Canada,"Electric power generation, transmission and distribution",Green procurements policy or guidelines,,,14.4
2018,Canada,"Electric power generation, transmission and distribution",Environmental supply chain management policy,,,14.8
2018,Canada,"Electric power generation, transmission and distribution",New or improved environmental supply chain management policy,,,6.8
2018,Canada,"Electric power generation, transmission and distribution","Environmental incentive programs, grants, loans, or tax credits",,,7.3
2018,Canada,"Electric power generation, transmission and distribution",Greenhouse gas emission inventory,,,50.0
2018,Canada,"Electric power generation, transmission and distribution",Purchased carbon offset credits only or purchased more than sold,,,6.2
2018,Canada,"Electric power generation, transmission and distribution",Sold carbon offset credits only or sold more than purchased,,,7.9
2018,Canada,"Electric power generation, transmission and distribution",Other environmental management practices,,,17.1
2018,Canada,Natural gas distribution,Reported using one or more environmental management practices,,,69.3
2018,Canada,Natural gas distribution,Environmental management system,,,33.4
2018,Canada,Natural gas distribution,Pollution prevention plan,,,16.7
2018,Canada,Natural gas distribution,Life cycle management,,,16.7
2018,Canada,Natural gas distribution,ISO 14000 family certification,,,
2018,Canada,Natural gas distribution,Environmental voluntary agreements or programs,,,35.8
2018,Canada,Natural gas distribution,Green procurements policy or guidelines,,,11.9
2018,Canada,Natural gas distribution,Environmental supply chain management policy,,,0.0
2018,Canada,Natural gas distribution,New or improved environmental supply chain management policy,,,0.0
2018,Canada,Natural gas distribution,"Environmental incentive programs, grants, loans, or tax credits",,,9.6
2018,Canada,Natural gas distribution,Greenhouse gas emission inventory,,,50.2
2018,Canada,Natural gas distribution,Purchased carbon offset credits only or purchased more than sold,,,31.1
2018,Canada,Natural gas distribution,Sold carbon offset credits only or sold more than purchased,,,7.2
2018,Canada,Natural gas distribution,Other environmental management practices,,,
2018,Canada,Food manufacturing,Reported using one or more environmental management practices,,,56.5
2018,Canada,Food manufacturing,Environmental management system,,,40.0
2018,Canada,Food manufacturing,Pollution prevention plan,,,29.8
2018,Canada,Food manufacturing,Life cycle management,,,3.5
2018,Canada,Food manufacturing,ISO 14000 family certification,,,1.3
2018,Canada,Food manufacturing,Environmental voluntary agreements or programs,,,10.7
2018,Canada,Food manufacturing,Green procurements policy or guidelines,,,5.7
2018,Canada,Food manufacturing,Environmental supply chain management policy,,,5.8
2018,Canada,Food manufacturing,New or improved environmental supply chain management policy,,,4.4
2018,Canada,Food manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,12.9
2018,Canada,Food manufacturing,Greenhouse gas emission inventory,,,25.0
2018,Canada,Food manufacturing,Purchased carbon offset credits only or purchased more than sold,,,1.0
2018,Canada,Food manufacturing,Sold carbon offset credits only or sold more than purchased,,,0.3
2018,Canada,Food manufacturing,Other environmental management practices,,,12.5
2018,Canada,Beverage and tobacco product manufacturing,Reported using one or more environmental management practices,,,41.7
2018,Canada,Beverage and tobacco product manufacturing,Environmental management system,,,25.6
2018,Canada,Beverage and tobacco product manufacturing,Pollution prevention plan,,,24.4
2018,Canada,Beverage and tobacco product manufacturing,Life cycle management,,,14.6
2018,Canada,Beverage and tobacco product manufacturing,ISO 14000 family certification,,,14.5
2018,Canada,Beverage and tobacco product manufacturing,Environmental voluntary agreements or programs,,,4.6
2018,Canada,Beverage and tobacco product manufacturing,Green procurements policy or guidelines,,,14.3
2018,Canada,Beverage and tobacco product manufacturing,Environmental supply chain management policy,,,6.9
2018,Canada,Beverage and tobacco product manufacturing,New or improved environmental supply chain management policy,,,8.6
2018,Canada,Beverage and tobacco product manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,2.5
2018,Canada,Beverage and tobacco product manufacturing,Greenhouse gas emission inventory,,,22.8
2018,Canada,Beverage and tobacco product manufacturing,Purchased carbon offset credits only or purchased more than sold,,,
2018,Canada,Beverage and tobacco product manufacturing,Sold carbon offset credits only or sold more than purchased,,,0.0
2018,Canada,Beverage and tobacco product manufacturing,Other environmental management practices,,,9.0
2018,Canada,Wood product manufacturing,Reported using one or more environmental management practices,,,42.1
2018,Canada,Wood product manufacturing,Environmental management system,,,21.5
2018,Canada,Wood product manufacturing,Pollution prevention plan,,,18.3
2018,Canada,Wood product manufacturing,Life cycle management,,,3.0
2018,Canada,Wood product manufacturing,ISO 14000 family certification,,,2.8
2018,Canada,Wood product manufacturing,Environmental voluntary agreements or programs,,,15.4
2018,Canada,Wood product manufacturing,Green procurements policy or guidelines,,,4.2
2018,Canada,Wood product manufacturing,Environmental supply chain management policy,,,8.4
2018,Canada,Wood product manufacturing,New or improved environmental supply chain management policy,,,3.2
2018,Canada,Wood product manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,11.5
2018,Canada,Wood product manufacturing,Greenhouse gas emission inventory,,,17.9
2018,Canada,Wood product manufacturing,Purchased carbon offset credits only or purchased more than sold,,,
2018,Canada,Wood product manufacturing,Sold carbon offset credits only or sold more than purchased,,,4.6
2018,Canada,Wood product manufacturing,Other environmental management practices,,,9.4
2018,Canada,Paper manufacturing,Reported using one or more environmental management practices,,,77.4
2018,Canada,Paper manufacturing,Environmental management system,,,63.6
2018,Canada,Paper manufacturing,Pollution prevention plan,,,49.0
2018,Canada,Paper manufacturing,Life cycle management,,,27.8
2018,Canada,Paper manufacturing,ISO 14000 family certification,,,42.8
2018,Canada,Paper manufacturing,Environmental voluntary agreements or programs,,,46.5
2018,Canada,Paper manufacturing,Green procurements policy or guidelines,,,24.3
2018,Canada,Paper manufacturing,Environmental supply chain management policy,,,29.8
2018,Canada,Paper manufacturing,New or improved environmental supply chain management policy,,,16.0
2018,Canada,Paper manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,16.3
2018,Canada,Paper manufacturing,Greenhouse gas emission inventory,,,50.9
2018,Canada,Paper manufacturing,Purchased carbon offset credits only or purchased more than sold,,,6.8
2018,Canada,Paper manufacturing,Sold carbon offset credits only or sold more than purchased,,,2.6
2018,Canada,Paper manufacturing,Other environmental management practices,,,8.4
2018,Canada,Petroleum and coal product manufacturing,Reported using one or more environmental management practices,,,89.3
2018,Canada,Petroleum and coal product manufacturing,Environmental management system,,,75.0
2018,Canada,Petroleum and coal product manufacturing,Pollution prevention plan,,,60.6
2018,Canada,Petroleum and coal product manufacturing,Life cycle management,,,28.5
2018,Canada,Petroleum and coal product manufacturing,ISO 14000 family certification,,,53.6
2018,Canada,Petroleum and coal product manufacturing,Environmental voluntary agreements or programs,,,17.8
2018,Canada,Petroleum and coal product manufacturing,Green procurements policy or guidelines,,,0.0
2018,Canada,Petroleum and coal product manufacturing,Environmental supply chain management policy,,,17.8
2018,Canada,Petroleum and coal product manufacturing,New or improved environmental supply chain management policy,,,
2018,Canada,Petroleum and coal product manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,21.4
2018,Canada,Petroleum and coal product manufacturing,Greenhouse gas emission inventory,,,89.3
2018,Canada,Petroleum and coal product manufacturing,Purchased carbon offset credits only or purchased more than sold,,,39.2
2018,Canada,Petroleum and coal product manufacturing,Sold carbon offset credits only or sold more than purchased,,,14.4
2018,Canada,Petroleum and coal product manufacturing,Other environmental management practices,,,25.0
2018,Canada,Chemical manufacturing,Reported using one or more environmental management practices,,,65.8
2018,Canada,Chemical manufacturing,Environmental management system,,,53.5
2018,Canada,Chemical manufacturing,Pollution prevention plan,,,32.2
2018,Canada,Chemical manufacturing,Life cycle management,,,15.2
2018,Canada,Chemical manufacturing,ISO 14000 family certification,,,18.0
2018,Canada,Chemical manufacturing,Environmental voluntary agreements or programs,,,16.8
2018,Canada,Chemical manufacturing,Green procurements policy or guidelines,,,9.9
2018,Canada,Chemical manufacturing,Environmental supply chain management policy,,,9.8
2018,Canada,Chemical manufacturing,New or improved environmental supply chain management policy,,,4.1
2018,Canada,Chemical manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,14.1
2018,Canada,Chemical manufacturing,Greenhouse gas emission inventory,,,37.3
2018,Canada,Chemical manufacturing,Purchased carbon offset credits only or purchased more than sold,,,2.9
2018,Canada,Chemical manufacturing,Sold carbon offset credits only or sold more than purchased,,,
2018,Canada,Chemical manufacturing,Other environmental management practices,,,5.0
2018,Canada,Non-metallic mineral product manufacturing,Reported using one or more environmental management practices,,,59.8
2018,Canada,Non-metallic mineral product manufacturing,Environmental management system,,,43.4
2018,Canada,Non-metallic mineral product manufacturing,Pollution prevention plan,,,30.5
2018,Canada,Non-metallic mineral product manufacturing,Life cycle management,,,8.5
2018,Canada,Non-metallic mineral product manufacturing,ISO 14000 family certification,,,9.0
2018,Canada,Non-metallic mineral product manufacturing,Environmental voluntary agreements or programs,,,4.2
2018,Canada,Non-metallic mineral product manufacturing,Green procurements policy or guidelines,,,11.0
2018,Canada,Non-metallic mineral product manufacturing,Environmental supply chain management policy,,,13.3
2018,Canada,Non-metallic mineral product manufacturing,New or improved environmental supply chain management policy,,,4.6
2018,Canada,Non-metallic mineral product manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,8.7
2018,Canada,Non-metallic mineral product manufacturing,Greenhouse gas emission inventory,,,19.3
2018,Canada,Non-metallic mineral product manufacturing,Purchased carbon offset credits only or purchased more than sold,,,1.9
2018,Canada,Non-metallic mineral product manufacturing,Sold carbon offset credits only or sold more than purchased,,,
2018,Canada,Non-metallic mineral product manufacturing,Other environmental management practices,,,3.2
2018,Canada,Primary metal manufacturing,Reported using one or more environmental management practices,,,77.3
2018,Canada,Primary metal manufacturing,Environmental management system,,,67.5
2018,Canada,Primary metal manufacturing,Pollution prevention plan,,,64.2
2018,Canada,Primary metal manufacturing,Life cycle management,,,26.5
2018,Canada,Primary metal manufacturing,ISO 14000 family certification,,,53.9
2018,Canada,Primary metal manufacturing,Environmental voluntary agreements or programs,,,28.2
2018,Canada,Primary metal manufacturing,Green procurements policy or guidelines,,,21.1
2018,Canada,Primary metal manufacturing,Environmental supply chain management policy,,,25.4
2018,Canada,Primary metal manufacturing,New or improved environmental supply chain management policy,,,7.4
2018,Canada,Primary metal manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,23.3
2018,Canada,Primary metal manufacturing,Greenhouse gas emission inventory,,,64.3
2018,Canada,Primary metal manufacturing,Purchased carbon offset credits only or purchased more than sold,,,7.2
2018,Canada,Primary metal manufacturing,Sold carbon offset credits only or sold more than purchased,,,7.2
2018,Canada,Primary metal manufacturing,Other environmental management practices,,,11.5
2018,Canada,Fabricated metal product manufacturing,Reported using one or more environmental management practices,,,27.1
2018,Canada,Fabricated metal product manufacturing,Environmental management system,,,13.3
2018,Canada,Fabricated metal product manufacturing,Pollution prevention plan,,,13.6
2018,Canada,Fabricated metal product manufacturing,Life cycle management,,,3.6
2018,Canada,Fabricated metal product manufacturing,ISO 14000 family certification,,,5.1
2018,Canada,Fabricated metal product manufacturing,Environmental voluntary agreements or programs,,,1.9
2018,Canada,Fabricated metal product manufacturing,Green procurements policy or guidelines,,,9.1
2018,Canada,Fabricated metal product manufacturing,Environmental supply chain management policy,,,4.9
2018,Canada,Fabricated metal product manufacturing,New or improved environmental supply chain management policy,,,1.8
2018,Canada,Fabricated metal product manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,5.9
2018,Canada,Fabricated metal product manufacturing,Greenhouse gas emission inventory,,,5.0
2018,Canada,Fabricated metal product manufacturing,Purchased carbon offset credits only or purchased more than sold,,,
2018,Canada,Fabricated metal product manufacturing,Sold carbon offset credits only or sold more than purchased,,,0.0
2018,Canada,Fabricated metal product manufacturing,Other environmental management practices,,,3.6
2018,Canada,Transportation equipment manufacturing,Reported using one or more environmental management practices,,,62.1
2018,Canada,Transportation equipment manufacturing,Environmental management system,,,45.6
2018,Canada,Transportation equipment manufacturing,Pollution prevention plan,,,38.3
2018,Canada,Transportation equipment manufacturing,Life cycle management,,,18.7
2018,Canada,Transportation equipment manufacturing,ISO 14000 family certification,,,39.1
2018,Canada,Transportation equipment manufacturing,Environmental voluntary agreements or programs,,,3.7
2018,Canada,Transportation equipment manufacturing,Green procurements policy or guidelines,,,20.2
2018,Canada,Transportation equipment manufacturing,Environmental supply chain management policy,,,15.9
2018,Canada,Transportation equipment manufacturing,New or improved environmental supply chain management policy,,,8.4
2018,Canada,Transportation equipment manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,12.3
2018,Canada,Transportation equipment manufacturing,Greenhouse gas emission inventory,,,28.7
2018,Canada,Transportation equipment manufacturing,Purchased carbon offset credits only or purchased more than sold,,,0.0
2018,Canada,Transportation equipment manufacturing,Sold carbon offset credits only or sold more than purchased,,,0.0
2018,Canada,Transportation equipment manufacturing,Other environmental management practices,,,6.6
2018,Canada,Plastics and rubber products manufacturing,Reported using one or more environmental management practices,,,51.7
2018,Canada,Plastics and rubber products manufacturing,Environmental management system,,,26.6
2018,Canada,Plastics and rubber products manufacturing,Pollution prevention plan,,,26.9
2018,Canada,Plastics and rubber products manufacturing,Life cycle management,,,13.9
2018,Canada,Plastics and rubber products manufacturing,ISO 14000 family certification,,,15.4
2018,Canada,Plastics and rubber products manufacturing,Environmental voluntary agreements or programs,,,9.1
2018,Canada,Plastics and rubber products manufacturing,Green procurements policy or guidelines,,,14.6
2018,Canada,Plastics and rubber products manufacturing,Environmental supply chain management policy,,,11.6
2018,Canada,Plastics and rubber products manufacturing,New or improved environmental supply chain management policy,,,7.9
2018,Canada,Plastics and rubber products manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,12.4
2018,Canada,Plastics and rubber products manufacturing,Greenhouse gas emission inventory,,,16.6
2018,Canada,Plastics and rubber products manufacturing,Purchased carbon offset credits only or purchased more than sold,,,0.4
2018,Canada,Plastics and rubber products manufacturing,Sold carbon offset credits only or sold more than purchased,,,
2018,Canada,Plastics and rubber products manufacturing,Other environmental management practices,,,6.5
2018,Canada,Machinery manufacturing,Reported using one or more environmental management practices,,,30.0
2018,Canada,Machinery manufacturing,Environmental management system,,,16.8
2018,Canada,Machinery manufacturing,Pollution prevention plan,,,11.7
2018,Canada,Machinery manufacturing,Life cycle management,,,3.2
2018,Canada,Machinery manufacturing,ISO 14000 family certification,,,8.8
2018,Canada,Machinery manufacturing,Environmental voluntary agreements or programs,,,0.7
2018,Canada,Machinery manufacturing,Green procurements policy or guidelines,,,1.4
2018,Canada,Machinery manufacturing,Environmental supply chain management policy,,,0.7
2018,Canada,Machinery manufacturing,New or improved environmental supply chain management policy,,,0.6
2018,Canada,Machinery manufacturing,"Environmental incentive programs, grants, loans, or tax credits",,,7.0
2018,Canada,Machinery manufacturing,Greenhouse gas emission inventory,,,1.8
2018,Canada,Machinery manufacturing,Purchased carbon offset credits only or purchased more than sold,,,
2018,Canada,Machinery manufacturing,Sold carbon offset credits only or sold more than purchased,,,0.0
2018,Canada,Machinery manufacturing,Other environmental management practices,,,5.9
2018,Canada,Furniture and related product manufacturing,Reported using one or more environmental management practices,,,41.6
2018,Canada,Furniture and related product manufacturing,Environmental management system,,,9.2
2018,Canada,Furniture and related product manufacturing,Pollution prevention plan,,,21.0
2018,Canada,Furniture and related product manufacturing,Life cycle management,,,7.8
2018,Canada,Furniture and related product manufacturing,ISO 14000 family certification,,,2.3
2018,Canada,Furniture and related product manufacturing,Environmental voluntary agreements or programs,,,3.0
2018,Canada,Furniture and related product manufacturing,Green procurements policy or guidelines,,,22.1
2018,Canada,Furniture and related product manufacturing,Environmental supply chain management policy,,,6.5
2018,Canada,Furniture and related product manufacturing,New or improved environmental supply chain management policy,,,3.5
