Year,Geography,Type of electricity generation,Value
2015,,,63.5
2016,,,64.1
2017,,,65.4
2018,,,65.2
2019,,,64.8
2015,data.Canada,data.Hydraulic turbine,59.1
2016,data.Canada,data.Hydraulic turbine,59.1
2017,data.Canada,data.Hydraulic turbine,60.2
2018,data.Canada,data.Hydraulic turbine,59.7
2019,data.Canada,data.Hydraulic turbine,59.4
2015,data.Canada,data.Tidal power turbine,
2016,data.Canada,data.Tidal power turbine,
2017,data.Canada,data.Tidal power turbine,
2018,data.Canada,data.Tidal power turbine,
2019,data.Canada,data.Tidal power turbine,
2015,data.Canada,data.Wind power turbine,4.2
2016,data.Canada,data.Wind power turbine,4.7
2017,data.Canada,data.Wind power turbine,4.8
2018,data.Canada,data.Wind power turbine,5.1
2019,data.Canada,data.Wind power turbine,5.1
2015,data.Canada,data.Solar,0.2
2016,data.Canada,data.Solar,0.3
2017,data.Canada,data.Solar,0.3
2018,data.Canada,data.Solar,0.3
2019,data.Canada,data.Solar,0.3
2015,data.Canada,data.Other types of electricity generation,
2016,data.Canada,data.Other types of electricity generation,
2017,data.Canada,data.Other types of electricity generation,
2018,data.Canada,data.Other types of electricity generation,
2019,data.Canada,data.Other types of electricity generation,
2015,data.Newfoundland and Labrador,"data.Total hydro, tidal, wind, solar and other generation",95.5
2016,data.Newfoundland and Labrador,"data.Total hydro, tidal, wind, solar and other generation",94.8
2017,data.Newfoundland and Labrador,"data.Total hydro, tidal, wind, solar and other generation",94.4
2018,data.Newfoundland and Labrador,"data.Total hydro, tidal, wind, solar and other generation",96.3
2019,data.Newfoundland and Labrador,"data.Total hydro, tidal, wind, solar and other generation",96.0
2015,data.Newfoundland and Labrador,data.Hydraulic turbine,95.0
2016,data.Newfoundland and Labrador,data.Hydraulic turbine,94.3
2017,data.Newfoundland and Labrador,data.Hydraulic turbine,93.9
2018,data.Newfoundland and Labrador,data.Hydraulic turbine,95.9
2019,data.Newfoundland and Labrador,data.Hydraulic turbine,95.6
2015,data.Newfoundland and Labrador,data.Wind power turbine,0.4
2016,data.Newfoundland and Labrador,data.Wind power turbine,0.5
2017,data.Newfoundland and Labrador,data.Wind power turbine,0.5
2018,data.Newfoundland and Labrador,data.Wind power turbine,0.5
2019,data.Newfoundland and Labrador,data.Wind power turbine,0.4
2015,data.Prince Edward Island,"data.Total hydro, tidal, wind, solar and other generation",98.4
2016,data.Prince Edward Island,"data.Total hydro, tidal, wind, solar and other generation",98.4
2017,data.Prince Edward Island,"data.Total hydro, tidal, wind, solar and other generation",98.5
2018,data.Prince Edward Island,"data.Total hydro, tidal, wind, solar and other generation",98.7
2019,data.Prince Edward Island,"data.Total hydro, tidal, wind, solar and other generation",99.0
2015,data.Prince Edward Island,data.Wind power turbine,98.4
2016,data.Prince Edward Island,data.Wind power turbine,98.4
2017,data.Prince Edward Island,data.Wind power turbine,98.5
2018,data.Prince Edward Island,data.Wind power turbine,98.6
2019,data.Prince Edward Island,data.Wind power turbine,99.0
2016,data.Prince Edward Island,data.Solar,
2017,data.Prince Edward Island,data.Solar,
2018,data.Prince Edward Island,data.Solar,0.1
2019,data.Prince Edward Island,data.Solar,0.1
2015,data.Nova Scotia,"data.Total hydro, tidal, wind, solar and other generation",17.9
2016,data.Nova Scotia,"data.Total hydro, tidal, wind, solar and other generation",18.5
2017,data.Nova Scotia,"data.Total hydro, tidal, wind, solar and other generation",21.5
2018,data.Nova Scotia,"data.Total hydro, tidal, wind, solar and other generation",20.7
2019,data.Nova Scotia,"data.Total hydro, tidal, wind, solar and other generation",21.6
2015,data.Nova Scotia,data.Hydraulic turbine,9.9
2016,data.Nova Scotia,data.Hydraulic turbine,8.2
2017,data.Nova Scotia,data.Hydraulic turbine,8.4
2018,data.Nova Scotia,data.Hydraulic turbine,9.2
2019,data.Nova Scotia,data.Hydraulic turbine,10.6
2015,data.Nova Scotia,data.Tidal power turbine,0.1
2016,data.Nova Scotia,data.Tidal power turbine,0.2
2017,data.Nova Scotia,data.Tidal power turbine,0.1
2018,data.Nova Scotia,data.Tidal power turbine,0.2
2019,data.Nova Scotia,data.Tidal power turbine,
2015,data.Nova Scotia,data.Wind power turbine,7.9
2016,data.Nova Scotia,data.Wind power turbine,10.2
2017,data.Nova Scotia,data.Wind power turbine,13.0
2018,data.Nova Scotia,data.Wind power turbine,11.3
2019,data.Nova Scotia,data.Wind power turbine,10.9
2015,data.New Brunswick,"data.Total hydro, tidal, wind, solar and other generation",24.4
2016,data.New Brunswick,"data.Total hydro, tidal, wind, solar and other generation",26.5
2017,data.New Brunswick,"data.Total hydro, tidal, wind, solar and other generation",25.1
2018,data.New Brunswick,"data.Total hydro, tidal, wind, solar and other generation",24.8
2019,data.New Brunswick,"data.Total hydro, tidal, wind, solar and other generation",29.1
2015,data.New Brunswick,data.Hydraulic turbine,18.8
2016,data.New Brunswick,data.Hydraulic turbine,21.4
2017,data.New Brunswick,data.Hydraulic turbine,19.3
2018,data.New Brunswick,data.Hydraulic turbine,18.7
2019,data.New Brunswick,data.Hydraulic turbine,22.4
2015,data.New Brunswick,data.Wind power turbine,5.7
2016,data.New Brunswick,data.Wind power turbine,5.0
2017,data.New Brunswick,data.Wind power turbine,5.8
2018,data.New Brunswick,data.Wind power turbine,6.1
2019,data.New Brunswick,data.Wind power turbine,6.7
2015,data.New Brunswick,data.Other types of electricity generation,
2016,data.New Brunswick,data.Other types of electricity generation,
2017,data.New Brunswick,data.Other types of electricity generation,
2018,data.New Brunswick,data.Other types of electricity generation,
2019,data.New Brunswick,data.Other types of electricity generation,
2015,data.Quebec,"data.Total hydro, tidal, wind, solar and other generation",99.2
2016,data.Quebec,"data.Total hydro, tidal, wind, solar and other generation",98.9
2017,data.Quebec,"data.Total hydro, tidal, wind, solar and other generation",98.8
2018,data.Quebec,"data.Total hydro, tidal, wind, solar and other generation",98.8
2019,data.Quebec,"data.Total hydro, tidal, wind, solar and other generation",98.9
2015,data.Quebec,data.Hydraulic turbine,96.0
2016,data.Quebec,data.Hydraulic turbine,94.2
2017,data.Quebec,data.Hydraulic turbine,94.2
2018,data.Quebec,data.Hydraulic turbine,93.8
2019,data.Quebec,data.Hydraulic turbine,93.7
2015,data.Quebec,data.Wind power turbine,3.2
2016,data.Quebec,data.Wind power turbine,4.7
2017,data.Quebec,data.Wind power turbine,4.6
2018,data.Quebec,data.Wind power turbine,5.0
2019,data.Quebec,data.Wind power turbine,5.2
2015,data.Quebec,data.Solar,
2016,data.Quebec,data.Solar,
2017,data.Quebec,data.Solar,
2018,data.Quebec,data.Solar,
2019,data.Quebec,data.Solar,
2015,data.Quebec,data.Other types of electricity generation,
2016,data.Quebec,data.Other types of electricity generation,
2017,data.Quebec,data.Other types of electricity generation,
2018,data.Quebec,data.Other types of electricity generation,
2019,data.Quebec,data.Other types of electricity generation,
2015,data.Ontario,"data.Total hydro, tidal, wind, solar and other generation",30.3
2016,data.Ontario,"data.Total hydro, tidal, wind, solar and other generation",31.2
2017,data.Ontario,"data.Total hydro, tidal, wind, solar and other generation",34.4
2018,data.Ontario,"data.Total hydro, tidal, wind, solar and other generation",33.5
2019,data.Ontario,"data.Total hydro, tidal, wind, solar and other generation",32.2
2015,data.Ontario,data.Hydraulic turbine,22.2
2016,data.Ontario,data.Hydraulic turbine,23.2
2017,data.Ontario,data.Hydraulic turbine,26.2
2018,data.Ontario,data.Hydraulic turbine,24.5
2019,data.Ontario,data.Hydraulic turbine,23.6
2015,data.Ontario,data.Wind power turbine,7.2
2016,data.Ontario,data.Wind power turbine,6.8
2017,data.Ontario,data.Wind power turbine,6.9
2018,data.Ontario,data.Wind power turbine,7.6
2019,data.Ontario,data.Wind power turbine,7.2
2015,data.Ontario,data.Solar,0.9
2016,data.Ontario,data.Solar,1.1
2017,data.Ontario,data.Solar,1.3
2018,data.Ontario,data.Solar,1.4
2019,data.Ontario,data.Solar,1.4
2015,data.Ontario,data.Other types of electricity generation,
2016,data.Ontario,data.Other types of electricity generation,
2017,data.Ontario,data.Other types of electricity generation,
2018,data.Ontario,data.Other types of electricity generation,
2019,data.Ontario,data.Other types of electricity generation,
2015,data.Manitoba,"data.Total hydro, tidal, wind, solar and other generation",99.3
2016,data.Manitoba,"data.Total hydro, tidal, wind, solar and other generation",99.6
2017,data.Manitoba,"data.Total hydro, tidal, wind, solar and other generation",99.6
2018,data.Manitoba,"data.Total hydro, tidal, wind, solar and other generation",99.7
2019,data.Manitoba,"data.Total hydro, tidal, wind, solar and other generation",99.6
2015,data.Manitoba,data.Hydraulic turbine,96.7
2016,data.Manitoba,data.Hydraulic turbine,97.0
2017,data.Manitoba,data.Hydraulic turbine,97.1
2018,data.Manitoba,data.Hydraulic turbine,96.9
2019,data.Manitoba,data.Hydraulic turbine,97.0
2015,data.Manitoba,data.Wind power turbine,2.5
2016,data.Manitoba,data.Wind power turbine,2.6
2017,data.Manitoba,data.Wind power turbine,2.5
2018,data.Manitoba,data.Wind power turbine,2.8
2019,data.Manitoba,data.Wind power turbine,2.6
2018,data.Manitoba,data.Solar,
2019,data.Manitoba,data.Solar,
2015,data.Saskatchewan,"data.Total hydro, tidal, wind, solar and other generation",17.3
2016,data.Saskatchewan,"data.Total hydro, tidal, wind, solar and other generation",16.4
2017,data.Saskatchewan,"data.Total hydro, tidal, wind, solar and other generation",18.0
2018,data.Saskatchewan,"data.Total hydro, tidal, wind, solar and other generation",18.3
2019,data.Saskatchewan,"data.Total hydro, tidal, wind, solar and other generation",18.5
2015,data.Saskatchewan,data.Hydraulic turbine,14.6
2016,data.Saskatchewan,data.Hydraulic turbine,13.3
2017,data.Saskatchewan,data.Hydraulic turbine,15.1
2018,data.Saskatchewan,data.Hydraulic turbine,14.9
2019,data.Saskatchewan,data.Hydraulic turbine,15.2
2015,data.Saskatchewan,data.Wind power turbine,2.6
2016,data.Saskatchewan,data.Wind power turbine,3.0
2017,data.Saskatchewan,data.Wind power turbine,2.9
2018,data.Saskatchewan,data.Wind power turbine,2.9
2019,data.Saskatchewan,data.Wind power turbine,2.9
2015,data.Saskatchewan,data.Other types of electricity generation,
2016,data.Saskatchewan,data.Other types of electricity generation,
2017,data.Saskatchewan,data.Other types of electricity generation,
2018,data.Saskatchewan,data.Other types of electricity generation,0.5
2019,data.Saskatchewan,data.Other types of electricity generation,0.5
2015,data.Alberta,"data.Total hydro, tidal, wind, solar and other generation",7.7
2016,data.Alberta,"data.Total hydro, tidal, wind, solar and other generation",8.6
2017,data.Alberta,"data.Total hydro, tidal, wind, solar and other generation",8.6
2018,data.Alberta,"data.Total hydro, tidal, wind, solar and other generation",8.2
2019,data.Alberta,"data.Total hydro, tidal, wind, solar and other generation",8.3
2015,data.Alberta,data.Hydraulic turbine,2.4
2016,data.Alberta,data.Hydraulic turbine,2.5
2017,data.Alberta,data.Hydraulic turbine,2.6
2018,data.Alberta,data.Hydraulic turbine,2.6
2019,data.Alberta,data.Hydraulic turbine,2.7
2015,data.Alberta,data.Wind power turbine,5.1
2016,data.Alberta,data.Wind power turbine,5.8
2017,data.Alberta,data.Wind power turbine,5.8
2018,data.Alberta,data.Wind power turbine,5.4
2019,data.Alberta,data.Wind power turbine,5.5
2015,data.Alberta,data.Solar,
2016,data.Alberta,data.Solar,
2017,data.Alberta,data.Solar,
2018,data.Alberta,data.Solar,
2019,data.Alberta,data.Solar,
2015,data.Alberta,data.Other types of electricity generation,0.2
2016,data.Alberta,data.Other types of electricity generation,0.2
2017,data.Alberta,data.Other types of electricity generation,0.3
2018,data.Alberta,data.Other types of electricity generation,0.1
2019,data.Alberta,data.Other types of electricity generation,0.1
2015,data.British Columbia,"data.Total hydro, tidal, wind, solar and other generation",91.8
2016,data.British Columbia,"data.Total hydro, tidal, wind, solar and other generation",90.5
2017,data.British Columbia,"data.Total hydro, tidal, wind, solar and other generation",91.5
2018,data.British Columbia,"data.Total hydro, tidal, wind, solar and other generation",90.8
2019,data.British Columbia,"data.Total hydro, tidal, wind, solar and other generation",88.9
2015,data.British Columbia,data.Hydraulic turbine,90.6
2016,data.British Columbia,data.Hydraulic turbine,88.7
2017,data.British Columbia,data.Hydraulic turbine,89.3
2018,data.British Columbia,data.Hydraulic turbine,88.4
2019,data.British Columbia,data.Hydraulic turbine,86.3
2015,data.British Columbia,data.Wind power turbine,1.2
2016,data.British Columbia,data.Wind power turbine,1.8
2017,data.British Columbia,data.Wind power turbine,2.2
2018,data.British Columbia,data.Wind power turbine,2.5
2019,data.British Columbia,data.Wind power turbine,2.6
2015,data.British Columbia,data.Solar,
2016,data.British Columbia,data.Solar,
2017,data.British Columbia,data.Solar,
2018,data.British Columbia,data.Solar,
2019,data.British Columbia,data.Solar,
2015,data.British Columbia,data.Other types of electricity generation,
2016,data.British Columbia,data.Other types of electricity generation,
2017,data.British Columbia,data.Other types of electricity generation,
2018,data.British Columbia,data.Other types of electricity generation,
2019,data.British Columbia,data.Other types of electricity generation,
2015,data.Yukon,"data.Total hydro, tidal, wind, solar and other generation",94.3
2016,data.Yukon,"data.Total hydro, tidal, wind, solar and other generation",94.0
2017,data.Yukon,"data.Total hydro, tidal, wind, solar and other generation",92.4
2018,data.Yukon,"data.Total hydro, tidal, wind, solar and other generation",87.6
2019,data.Yukon,"data.Total hydro, tidal, wind, solar and other generation",80.4
2015,data.Yukon,data.Hydraulic turbine,94.2
2016,data.Yukon,data.Hydraulic turbine,93.8
2017,data.Yukon,data.Hydraulic turbine,92.4
2018,data.Yukon,data.Hydraulic turbine,87.6
2019,data.Yukon,data.Hydraulic turbine,80.4
2015,data.Yukon,data.Wind power turbine,0.1
2016,data.Yukon,data.Wind power turbine,0.1
2017,data.Yukon,data.Wind power turbine,
2018,data.Yukon,data.Wind power turbine,
2019,data.Yukon,data.Wind power turbine,
2015,data.Northwest Territories,"data.Total hydro, tidal, wind, solar and other generation",25.0
2016,data.Northwest Territories,"data.Total hydro, tidal, wind, solar and other generation",31.9
2017,data.Northwest Territories,"data.Total hydro, tidal, wind, solar and other generation",35.6
2018,data.Northwest Territories,"data.Total hydro, tidal, wind, solar and other generation",35.7
2019,data.Northwest Territories,"data.Total hydro, tidal, wind, solar and other generation",39.6
2015,data.Northwest Territories,data.Hydraulic turbine,22.2
2016,data.Northwest Territories,data.Hydraulic turbine,30.1
2017,data.Northwest Territories,data.Hydraulic turbine,33.3
2018,data.Northwest Territories,data.Hydraulic turbine,33.3
2019,data.Northwest Territories,data.Hydraulic turbine,37.1
2015,data.Northwest Territories,data.Wind power turbine,2.8
2016,data.Northwest Territories,data.Wind power turbine,1.8
2017,data.Northwest Territories,data.Wind power turbine,2.3
2018,data.Northwest Territories,data.Wind power turbine,2.4
2019,data.Northwest Territories,data.Wind power turbine,2.4
2015,data.Northwest Territories,data.Solar,
2016,data.Northwest Territories,data.Solar,
2017,data.Northwest Territories,data.Solar,
2018,data.Northwest Territories,data.Solar,
